"HS2007Code 4digits","Maslow category","maslow_normalized"
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
301,1,0
302,1,0
303,1,0
304,1,0
305,1,0
306,1,0
307,1,0
401,1,0
402,1,0
403,1,0
404,1,0
405,1,0
406,1,0
407,1,0
408,1,0
409,1,0
410,1,0
501,1,0
502,1,0
504,1,0
505,1,0
506,1,0
507,1,0
508,1,0
510,1,0
511,1,0
601,1,0
602,1,0
603,1,0
604,1,0
701,1,0
702,1,0
703,1,0
704,1,0
705,1,0
706,1,0
707,1,0
708,1,0
709,1,0
710,1,0
711,1,0
712,1,0
713,1,0
714,1,0
801,1,0
802,1,0
803,1,0
804,1,0
805,1,0
806,1,0
807,1,0
808,1,0
809,1,0
810,1,0
811,1,0
812,1,0
813,1,0
814,1,0
901,1,0
902,1,0
903,1,0
904,1,0
905,1,0
906,1,0
907,1,0
908,1,0
909,1,0
910,1,0
1001,1,0
1002,1,0
1003,1,0
1004,1,0
1005,1,0
1006,1,0
1007,1,0
1008,1,0
1101,1,0
1102,1,0
1103,1,0
1104,1,0
1105,1,0
1106,1,0
1107,1,0
1108,1,0
1109,1,0
1201,1,0
1202,1,0
1203,1,0
1204,1,0
1205,1,0
1206,1,0
1207,1,0
1208,1,0
1209,1,0
1210,1,0
1211,1,0
1212,1,0
1213,1,0
1214,1,0
1301,1,0
1302,1,0
1401,1,0
1404,1,0
1501,1,0
1502,1,0
1503,1,0
1504,1,0
1505,1,0
1506,1,0
1507,1,0
1508,1,0
1509,1,0
1510,1,0
1511,1,0
1512,1,0
1513,1,0
1514,1,0
1515,1,0
1516,1,0
1517,1,0
1518,1,0
1519,1,0
1520,1,0
1521,1,0
1522,1,0
1601,1,0
1602,1,0
1603,1,0
1604,1,0
1605,1,0
1701,1,0
1702,1,0
1703,1,0
1704,1,0
1801,1,0
1802,1,0
1803,1,0
1804,1,0
1805,1,0
1806,1,0
1901,1,0
1902,1,0
1903,1,0
1904,1,0
1905,1,0
2001,1,0
2002,1,0
2003,1,0
2004,1,0
2005,1,0
2006,1,0
2007,1,0
2008,1,0
2009,1,0
2101,1,0
2102,1,0
2103,1,0
2104,1,0
2105,1,0
2106,1,0
2201,1,0
2202,1,0
2203,1,0
2204,1,0
2205,1,0
2206,1,0
2207,1,0
2208,1,0
2209,1,0
2301,1,0
2302,1,0
2303,1,0
2304,1,0
2305,1,0
2306,1,0
2307,1,0
2308,1,0
2309,1,0
2401,1,0
2402,1,0
2403,1,0
2501,1,0
2502,1,0
2503,1,0
2504,1,0
2505,1,0
2506,1,0
2507,1,0
2508,1,0
2509,1,0
2510,1,0
2511,1,0
2512,1,0
2513,1,0
2514,1,0
2515,1,0
2516,1,0
2517,1,0
2518,1,0
2519,1,0
2520,1,0
2521,1,0
2522,1,0
2523,1,0
2524,1,0
2525,1,0
2528,1,0
2529,1,0
2530,1,0
2601,1,0
2602,1,0
2603,1,0
2604,1,0
2605,1,0
2606,1,0
2607,1,0
2608,1,0
2609,1,0
2610,1,0
2611,1,0
2612,1,0
2613,1,0
2614,1,0
2615,1,0
2616,1,0
2617,1,0
2618,1,0
2619,1,0
2620,1,0
2621,1,0
2701,1,0
2702,1,0
2703,1,0
2704,1,0
2705,1,0
2706,1,0
2707,1,0
2708,1,0
2709,1,0
2710,1,0
2711,1,0
2712,1,0
2713,1,0
2714,1,0
2715,1,0
2716,1,0
2801,1,0
2802,1,0
2803,1,0
2804,1,0
2805,1,0
2806,1,0
2807,1,0
2808,1,0
2809,1,0
2810,1,0
2811,1,0
2812,1,0
2813,1,0
2814,1,0
2815,1,0
2816,1,0
2817,1,0
2818,1,0
2819,1,0
2820,1,0
2821,1,0
2822,1,0
2823,1,0
2824,1,0
2825,1,0
2826,1,0
2827,1,0
2828,1,0
2829,1,0
2830,1,0
2831,1,0
2832,1,0
2833,1,0
2834,1,0
2835,1,0
2836,1,0
2837,1,0
2839,1,0
2840,1,0
2841,1,0
2842,1,0
2843,1,0
2844,1,0
2845,1,0
2846,1,0
2847,1,0
2848,1,0
2849,1,0
2850,1,0
2852,1,0
2853,1,0
2901,1,0
2902,1,0
2903,1,0
2904,1,0
2905,1,0
2906,1,0
2907,1,0
2908,1,0
2909,1,0
2910,1,0
2911,1,0
2912,1,0
2913,1,0
2914,1,0
2915,1,0
2916,1,0
2917,1,0
2918,1,0
2919,1,0
2920,1,0
2921,1,0
2922,1,0
2923,1,0
2924,1,0
2925,1,0
2926,1,0
2927,1,0
2928,1,0
2929,1,0
2930,1,0
2931,1,0
2932,1,0
2933,1,0
2934,1,0
2935,1,0
2936,1,0
2937,1,0
2938,1,0
2939,1,0
2940,1,0
2941,1,0
2942,1,0
3001,1,0
3002,1,0
3003,1,0
3004,1,0
3005,1,0
3006,1,0
3101,1,0
3102,1,0
3103,1,0
3104,1,0
3105,1,0
3201,1,0
3202,1,0
3203,1,0
3204,1,0
3205,1,0
3206,1,0
3207,1,0
3208,1,0
3209,1,0
3210,1,0
3211,1,0
3212,1,0
3213,1,0
3214,1,0
3215,1,0
3301,1,0
3302,1,0
3303,1,0
3304,1,0
3305,1,0
3306,1,0
3307,1,0
3401,1,0
3402,1,0
3403,1,0
3404,1,0
3405,1,0
3406,1,0
3407,1,0
3501,1,0
3502,1,0
3503,1,0
3504,1,0
3505,1,0
3506,1,0
3507,1,0
3601,1,0
3602,1,0
3603,1,0
3604,1,0
3605,1,0
3606,1,0
3701,1,0
3702,1,0
3703,1,0
3704,3,0.5
3705,3,0.5
3706,4,0.75
3707,1,0
3801,1,0
3802,1,0
3803,1,0
3804,1,0
3805,1,0
3806,1,0
3807,1,0
3808,1,0
3809,1,0
3810,1,0
3811,1,0
3812,1,0
3813,1,0
3814,1,0
3815,1,0
3816,1,0
3817,1,0
3818,1,0
3819,1,0
3820,1,0
3821,1,0
3822,1,0
3823,1,0
3824,1,0
3825,1,0
3901,1,0
3902,1,0
3903,1,0
3904,1,0
3905,1,0
3906,1,0
3907,1,0
3908,1,0
3909,1,0
3910,1,0
3911,1,0
3912,1,0
3913,1,0
3914,1,0
3915,1,0
3916,1,0
3917,1,0
3918,1,0
3919,1,0
3920,1,0
3921,1,0
3922,1,0
3923,1,0
3924,1,0
3925,1,0
3926,1,0
4001,1,0
4002,1,0
4003,2,0.25
4004,1,0
4005,1,0
4006,1,0
4007,1,0
4008,1,0
4009,1,0
4010,1,0
4011,1,0
4012,1,0
4013,1,0
4014,1,0
4015,1,0
4016,1,0
4017,1,0
4101,1,0
4102,1,0
4103,1,0
4104,1,0
4105,1,0
4106,1,0
4107,1,0
4108,1,0
4109,1,0
4110,1,0
4111,1,0
4112,1,0
4113,1,0
4114,1,0
4115,1,0
4201,1,0
4202,1,0
4203,1,0
4205,1,0
4206,1,0
4301,1,0
4302,1,0
4303,1,0
4304,1,0
4401,1,0
4402,1,0
4403,1,0
4404,1,0
4405,1,0
4406,1,0
4407,1,0
4408,1,0
4409,1,0
4410,1,0
4411,1,0
4412,1,0
4413,1,0
4414,1,0
4415,1,0
4416,1,0
4417,1,0
4418,1,0
4419,1,0
4420,1,0
4421,1,0
4501,1,0
4502,1,0
4503,1,0
4504,1,0
4601,1,0
4602,1,0
4701,1,0
4702,1,0
4703,1,0
4704,1,0
4705,1,0
4706,1,0
4707,1,0
4801,1,0
4802,1,0
4803,1,0
4804,1,0
4805,1,0
4806,1,0
4807,1,0
4808,1,0
4809,1,0
4810,1,0
4811,1,0
4812,1,0
4813,1,0
4814,1,0
4816,1,0
4817,1,0
4818,1,0
4819,1,0
4820,1,0
4821,1,0
4822,1,0
4823,1,0
4901,5,1
4902,5,1
4903,5,1
4904,4,0.75
4905,5,1
4906,3,0.5
4907,3,0.5
4908,5,1
4909,5,1
4910,5,1
4911,5,1
5001,1,0
5002,1,0
5003,1,0
5004,1,0
5005,1,0
5006,1,0
5007,1,0
5101,1,0
5102,1,0
5103,1,0
5104,1,0
5105,1,0
5106,1,0
5107,1,0
5108,1,0
5109,1,0
5110,1,0
5111,1,0
5112,1,0
5113,1,0
5201,1,0
5202,1,0
5203,1,0
5204,1,0
5205,1,0
5206,1,0
5207,1,0
5208,1,0
5209,1,0
5210,1,0
5211,1,0
5212,1,0
5301,1,0
5302,1,0
5303,1,0
5305,1,0
5306,1,0
5307,1,0
5308,1,0
5309,1,0
5310,1,0
5311,1,0
5401,1,0
5402,1,0
5403,1,0
5404,1,0
5405,1,0
5406,1,0
5407,1,0
5408,1,0
5501,1,0
5502,1,0
5503,1,0
5504,1,0
5505,1,0
5506,1,0
5507,1,0
5508,1,0
5509,1,0
5510,1,0
5511,1,0
5512,1,0
5513,1,0
5514,1,0
5515,1,0
5516,1,0
5601,1,0
5602,1,0
5603,1,0
5604,1,0
5605,1,0
5606,1,0
5607,1,0
5608,1,0
5609,1,0
5701,1,0
5702,1,0
5703,1,0
5704,1,0
5705,1,0
5801,1,0
5802,1,0
5803,1,0
5804,1,0
5805,1,0
5806,1,0
5807,1,0
5808,1,0
5809,1,0
5810,1,0
5811,1,0
5901,1,0
5902,1,0
5903,1,0
5904,1,0
5905,1,0
5906,1,0
5907,1,0
5908,1,0
5909,1,0
5910,1,0
5911,1,0
6001,1,0
6002,1,0
6003,1,0
6004,1,0
6005,1,0
6006,1,0
6101,1,0
6102,1,0
6103,1,0
6104,1,0
6105,1,0
6106,1,0
6107,1,0
6108,1,0
6109,1,0
6110,1,0
6111,1,0
6112,1,0
6113,1,0
6114,1,0
6115,1,0
6116,1,0
6117,1,0
6201,1,0
6202,1,0
6203,1,0
6204,1,0
6205,1,0
6206,1,0
6207,1,0
6208,1,0
6209,1,0
6210,1,0
6211,1,0
6212,1,0
6213,1,0
6214,1,0
6215,1,0
6216,1,0
6217,1,0
6301,1,0
6302,1,0
6303,1,0
6304,1,0
6305,1,0
6306,1,0
6307,1,0
6308,1,0
6309,1,0
6310,1,0
6401,1,0
6402,1,0
6403,1,0
6404,1,0
6405,1,0
6406,1,0
6501,1,0
6502,1,0
6504,1,0
6505,1,0
6506,1,0
6507,1,0
6601,1,0
6602,1,0
6603,1,0
6701,1,0
6702,1,0
6703,1,0
6704,1,0
6801,1,0
6802,1,0
6803,1,0
6804,1,0
6805,1,0
6806,1,0
6807,1,0
6808,1,0
6809,1,0
6810,1,0
6811,1,0
6812,1,0
6813,1,0
6814,1,0
6815,1,0
6901,1,0
6902,1,0
6903,1,0
6904,1,0
6905,1,0
6906,1,0
6907,1,0
6908,1,0
6909,1,0
6910,1,0
6911,1,0
6912,1,0
6913,1,0
6914,1,0
7001,1,0
7002,1,0
7003,1,0
7004,1,0
7005,1,0
7006,1,0
7007,1,0
7008,1,0
7009,1,0
7010,1,0
7011,1,0
7013,1,0
7014,1,0
7015,1,0
7016,1,0
7017,1,0
7018,1,0
7019,1,0
7020,1,0
7101,1,0
7102,1,0
7103,1,0
7104,1,0
7105,1,0
7106,1,0
7107,1,0
7108,1,0
7109,1,0
7110,1,0
7111,1,0
7112,1,0
7113,1,0
7114,1,0
7115,1,0
7116,1,0
7117,1,0
7118,1,0
7201,1,0
7202,1,0
7203,1,0
7204,1,0
7205,1,0
7206,1,0
7207,1,0
7208,1,0
7209,1,0
7210,1,0
7211,1,0
7212,1,0
7213,1,0
7214,1,0
7215,1,0
7216,1,0
7217,1,0
7218,1,0
7219,1,0
7220,1,0
7221,1,0
7222,1,0
7223,1,0
7224,1,0
7225,1,0
7226,1,0
7227,1,0
7228,1,0
7229,1,0
7301,1,0
7302,1,0
7303,1,0
7304,1,0
7305,1,0
7306,1,0
7307,1,0
7308,1,0
7309,1,0
7310,1,0
7311,1,0
7312,1,0
7313,1,0
7314,1,0
7315,1,0
7316,1,0
7317,1,0
7318,1,0
7319,1,0
7320,1,0
7321,1,0
7322,1,0
7323,1,0
7324,1,0
7325,1,0
7326,1,0
7401,1,0
7402,1,0
7403,1,0
7404,1,0
7405,1,0
7406,1,0
7407,1,0
7408,1,0
7409,1,0
7410,1,0
7411,1,0
7412,1,0
7413,1,0
7415,1,0
7418,1,0
7419,1,0
7501,1,0
7502,1,0
7503,1,0
7504,1,0
7505,1,0
7506,1,0
7507,1,0
7508,1,0
7601,1,0
7602,1,0
7603,1,0
7604,1,0
7605,1,0
7606,1,0
7607,1,0
7608,1,0
7609,1,0
7610,1,0
7611,1,0
7612,1,0
7613,1,0
7614,1,0
7615,1,0
7616,1,0
7801,1,0
7802,1,0
7804,1,0
7806,1,0
7901,1,0
7902,1,0
7903,1,0
7904,1,0
7905,1,0
7907,1,0
8001,1,0
8002,1,0
8003,1,0
8007,1,0
8101,1,0
8102,1,0
8103,1,0
8104,1,0
8105,1,0
8106,1,0
8107,1,0
8108,1,0
8109,1,0
8110,1,0
8111,1,0
8112,1,0
8113,1,0
8201,1,0
8202,1,0
8203,1,0
8204,1,0
8205,1,0
8206,1,0
8207,1,0
8208,1,0
8209,1,0
8210,1,0
8211,1,0
8212,1,0
8213,1,0
8214,1,0
8215,1,0
8301,1,0
8302,1,0
8303,1,0
8304,1,0
8305,1,0
8306,1,0
8307,1,0
8308,1,0
8309,1,0
8310,1,0
8311,1,0
8401,1,0
8402,1,0
8403,1,0
8404,1,0
8405,1,0
8406,1,0
8407,3,0.5
8408,3,0.5
8409,3,0.5
8410,1,0
8411,3,0.5
8412,3,0.5
8413,1,0
8414,1,0
8415,1,0
8416,1,0
8417,1,0
8418,1,0
8419,1,0
8420,1,0
8421,1,0
8422,1,0
8423,1,0
8424,1,0
8425,1,0
8426,1,0
8427,1,0
8428,1,0
8429,1,0
8430,1,0
8431,1,0
8432,1,0
8433,1,0
8434,1,0
8435,1,0
8436,1,0
8437,1,0
8438,1,0
8439,1,0
8440,1,0
8441,1,0
8442,5,1
8443,3,0.5
8444,1,0
8445,1,0
8446,1,0
8447,1,0
8448,1,0
8449,1,0
8450,1,0
8451,1,0
8452,1,0
8453,1,0
8454,1,0
8455,1,0
8456,1,0
8457,1,0
8458,1,0
8459,1,0
8460,1,0
8461,1,0
8462,1,0
8463,1,0
8464,1,0
8465,1,0
8466,1,0
8467,1,0
8468,1,0
8469,1,0
8470,3,0.5
8471,3,0.5
8472,3,0.5
8473,3,0.5
8474,1,0
8475,1,0
8476,1,0
8477,1,0
8478,1,0
8479,1,0
8480,1,0
8481,1,0
8482,1,0
8483,1,0
8484,1,0
8485,1,0
8486,1,0
8487,1,0
8501,1,0
8502,1,0
8503,1,0
8504,1,0
8505,1,0
8506,1,0
8507,1,0
8508,1,0
8509,1,0
8510,1,0
8511,3,0.5
8512,3,0.5
8513,1,0
8514,1,0
8515,1,0
8516,1,0
8517,3,0.5
8518,3,0.5
8519,3,0.5
8520,3,0.5
8521,3,0.5
8522,3,0.5
8523,4,0.75
8524,4,0.75
8525,3,0.5
8526,3,0.5
8527,3,0.5
8528,3,0.5
8529,3,0.5
8530,3,0.5
8531,3,0.5
8532,3,0.5
8533,3,0.5
8534,3,0.5
8535,1,0
8536,3,0.5
8537,1,0
8538,1,0
8539,1,0
8540,3,0.5
8541,3,0.5
8542,3,0.5
8543,3,0.5
8544,3,0.5
8545,1,0
8546,1,0
8547,1,0
8548,3,0.5
8601,3,0.5
8602,3,0.5
8603,3,0.5
8604,3,0.5
8605,3,0.5
8606,3,0.5
8607,3,0.5
8608,3,0.5
8609,3,0.5
8701,3,0.5
8702,3,0.5
8703,3,0.5
8704,3,0.5
8705,3,0.5
8706,3,0.5
8707,3,0.5
8708,3,0.5
8709,1,0
8710,3,0.5
8711,3,0.5
8712,3,0.5
8713,3,0.5
8714,3,0.5
8715,3,0.5
8716,3,0.5
8801,3,0.5
8802,3,0.5
8803,3,0.5
8804,1,0
8805,1,0
8901,3,0.5
8902,3,0.5
8903,3,0.5
8904,3,0.5
8905,3,0.5
8906,3,0.5
8907,3,0.5
8908,1,0
9001,1,0
9002,3,0.5
9003,1,0
9004,1,0
9005,3,0.5
9006,3,0.5
9007,3,0.5
9008,3,0.5
9010,3,0.5
9011,3,0.5
9012,3,0.5
9013,3,0.5
9014,3,0.5
9015,3,0.5
9016,3,0.5
9017,3,0.5
9018,3,0.5
9019,1,0
9020,1,0
9021,3,0.5
9022,3,0.5
9023,1,0
9024,3,0.5
9025,3,0.5
9026,3,0.5
9027,3,0.5
9028,3,0.5
9029,3,0.5
9030,3,0.5
9031,3,0.5
9032,3,0.5
9033,3,0.5
9101,3,0.5
9102,3,0.5
9103,3,0.5
9104,3,0.5
9105,3,0.5
9106,3,0.5
9107,3,0.5
9108,3,0.5
9109,3,0.5
9110,3,0.5
9111,3,0.5
9112,3,0.5
9113,3,0.5
9114,3,0.5
9201,1,0
9202,1,0
9205,1,0
9206,1,0
9207,1,0
9208,1,0
9209,1,0
9301,1,0
9302,1,0
9303,1,0
9304,1,0
9305,1,0
9306,1,0
9307,1,0
9401,1,0
9402,3,0.5
9403,1,0
9404,1,0
9405,1,0
9406,1,0
9503,1,0
9504,5,1
9505,1,0
9506,1,0
9507,1,0
9508,1,0
9601,1,0
9602,1,0
9603,1,0
9604,1,0
9605,1,0
9606,1,0
9607,1,0
9608,1,0
9609,1,0
9610,1,0
9611,1,0
9612,1,0
9613,1,0
9614,1,0
9615,1,0
9616,1,0
9617,1,0
9618,1,0
9701,4,0.75
9702,4,0.75
9703,4,0.75
9704,3,0.5
9705,4,0.75
9706,4,0.75
