dep,hs4,local_product_exportations,local_total_exportations,world_product_exportations,world_total_exportations,local_rca,rca_norm
43,601,0,12435228223,1766853390,17160008181348,0.0000,0.0000000
43,602,0,12435228223,9166135500,17160008181348,0.0000,0.0000000
43,603,0,12435228223,8272093919,17160008181348,0.0000,0.0000000
43,1105,0,12435228223,757814668,17160008181348,0.0000,0.0000000
43,1203,0,12435228223,153790349,17160008181348,0.0000,0.0000000
43,1214,0,12435228223,2767172655,17160008181348,0.0000,0.0000000
43,2105,0,12435228223,4158082394,17160008181348,0.0000,0.0000000
43,2203,0,12435228223,15721600846,17160008181348,0.0000,0.0000000
43,2522,0,12435228223,1171952120,17160008181348,0.0000,0.0000000
43,2703,0,12435228223,1996401660,17160008181348,0.0000,0.0000000
43,3704,0,12435228223,53778382,17160008181348,0.0000,0.0000000
43,3705,0,12435228223,1537962770,17160008181348,0.0000,0.0000000
43,4902,0,12435228223,3460781313,17160008181348,0.0000,0.0000000
43,4904,0,12435228223,98435942,17160008181348,0.0000,0.0000000
43,4906,0,12435228223,120327686,17160008181348,0.0000,0.0000000
43,5201,0,12435228223,14092426138,17160008181348,0.0000,0.0000000
43,6808,0,12435228223,543319078,17160008181348,0.0000,0.0000000
43,6811,0,12435228223,1298792171,17160008181348,0.0000,0.0000000
43,6914,0,12435228223,1623763217,17160008181348,0.0000,0.0000000
43,7003,0,12435228223,2446521293,17160008181348,0.0000,0.0000000
43,7004,0,12435228223,837907508,17160008181348,0.0000,0.0000000
43,7005,0,12435228223,5728546923,17160008181348,0.0000,0.0000000
43,7106,0,12435228223,17850492484,17160008181348,0.0000,0.0000000
43,7107,0,12435228223,117380400,17160008181348,0.0000,0.0000000
43,7108,0,12435228223,287012348772,17160008181348,0.0000,0.0000000
43,7109,0,12435228223,128825043,17160008181348,0.0000,0.0000000
43,7110,0,12435228223,32306760763,17160008181348,0.0000,0.0000000
43,7111,0,12435228223,378834035,17160008181348,0.0000,0.0000000
43,7217,0,12435228223,7597728847,17160008181348,0.0000,0.0000000
43,7223,0,12435228223,2202549823,17160008181348,0.0000,0.0000000
43,7229,0,12435228223,2539623674,17160008181348,0.0000,0.0000000
43,7303,0,12435228223,1552992893,17160008181348,0.0000,0.0000000
43,7309,0,12435228223,3817114028,17160008181348,0.0000,0.0000000
43,7311,0,12435228223,3346047691,17160008181348,0.0000,0.0000000
43,7501,0,12435228223,4923514754,17160008181348,0.0000,0.0000000
43,7502,0,12435228223,13028268622,17160008181348,0.0000,0.0000000
43,7504,0,12435228223,1181672158,17160008181348,0.0000,0.0000000
43,7505,0,12435228223,2835361303,17160008181348,0.0000,0.0000000
43,7506,0,12435228223,1349814485,17160008181348,0.0000,0.0000000
43,7507,0,12435228223,1037302402,17160008181348,0.0000,0.0000000
43,7611,0,12435228223,238294483,17160008181348,0.0000,0.0000000
43,7613,0,12435228223,531470356,17160008181348,0.0000,0.0000000
43,8106,0,12435228223,145558705,17160008181348,0.0000,0.0000000
43,8110,0,12435228223,322745498,17160008181348,0.0000,0.0000000
43,8111,0,12435228223,1302336517,17160008181348,0.0000,0.0000000
43,8113,0,12435228223,1160105176,17160008181348,0.0000,0.0000000
43,8402,0,12435228223,4962278360,17160008181348,0.0000,0.0000000
43,8403,0,12435228223,7140304922,17160008181348,0.0000,0.0000000
43,8404,0,12435228223,1745998262,17160008181348,0.0000,0.0000000
43,8601,0,12435228223,998139269,17160008181348,0.0000,0.0000000
43,8602,0,12435228223,1331365516,17160008181348,0.0000,0.0000000
43,8603,0,12435228223,5528965055,17160008181348,0.0000,0.0000000
43,8604,0,12435228223,1218852061,17160008181348,0.0000,0.0000000
43,8605,0,12435228223,2279340132,17160008181348,0.0000,0.0000000
43,8606,0,12435228223,2717925438,17160008181348,0.0000,0.0000000
43,8607,0,12435228223,11811146528,17160008181348,0.0000,0.0000000
43,8608,0,12435228223,1005663699,17160008181348,0.0000,0.0000000
43,9301,0,12435228223,1095830969,17160008181348,0.0000,0.0000000
43,9302,0,12435228223,956236614,17160008181348,0.0000,0.0000000
43,9303,0,12435228223,1285687164,17160008181348,0.0000,0.0000000
43,9304,0,12435228223,725906938,17160008181348,0.0000,0.0000000
43,9305,0,12435228223,1817829361,17160008181348,0.0000,0.0000000
43,9306,0,12435228223,7315775655,17160008181348,0.0000,0.0000000
43,9704,0,12435228223,125440639,17160008181348,0.0000,0.0000000
43,9705,0,12435228223,1273673827,17160008181348,0.0000,0.0000000
43,9706,0,12435228223,2857664210,17160008181348,0.0000,0.0000000
43,8441,1,12435228223,7357185230,17160008181348,0.0000,0.0000000
43,8439,1,12435228223,5026591598,17160008181348,0.0000,0.0000000
43,2710,328,12435228223,793010159892,17160008181348,0.0000,0.0000000
43,8309,5,12435228223,6761621550,17160008181348,0.0000,0.0000000
43,8507,42,12435228223,52437646916,17160008181348,0.0000,0.0000000
43,2711,328,12435228223,356055126416,17160008181348,0.0000,0.0000000
43,7612,5,12435228223,4985576162,17160008181348,0.0000,0.0000000
43,2701,328,12435228223,126976652994,17160008181348,0.0000,0.0000000
43,2309,118,12435228223,29647247911,17160008181348,0.0000,0.0000000
43,8506,42,12435228223,7982510669,17160008181348,0.0000,0.0000000
43,7013,103,12435228223,8164877104,17160008181348,0.0000,0.0000000
43,2713,328,12435228223,22286157967,17160008181348,0.0000,0.0000000
43,3105,636,12435228223,22831628884,17160008181348,0.0000,0.0000000
43,3102,636,12435228223,20944051737,17160008181348,0.0000,0.0000000
43,9603,297,12435228223,9418551101,17160008181348,0.0000,0.0000000
43,2009,618,12435228223,15427200230,17160008181348,0.0001,0.0000000
43,3104,636,12435228223,14958200701,17160008181348,0.0001,0.0000000
43,5603,694,12435228223,15805865782,17160008181348,0.0001,0.0000000
43,3004,18262,12435228223,345951432878,17160008181348,0.0001,0.0000000
43,4002,1450,12435228223,25774893229,17160008181348,0.0001,0.0000000
43,6804,298,12435228223,4876979453,17160008181348,0.0001,0.0000000
43,6805,298,12435228223,4607712885,17160008181348,0.0001,0.0000000
43,2702,328,12435228223,4658731501,17160008181348,0.0001,0.0000000
43,3506,900,12435228223,12078188133,17160008181348,0.0001,0.0000000
43,6115,1111,12435228223,13258562162,17160008181348,0.0001,0.0000000
43,4814,133,12435228223,1553901734,17160008181348,0.0001,0.0000000
43,2814,636,12435228223,6679186131,17160008181348,0.0001,0.0000000
43,2712,328,12435228223,3302307544,17160008181348,0.0001,0.0000000
43,5703,1006,12435228223,7239218158,17160008181348,0.0002,0.0000001
43,9207,303,12435228223,2076110009,17160008181348,0.0002,0.0000001
43,709,2556,12435228223,14156836374,17160008181348,0.0002,0.0000001
43,5702,1006,12435228223,4809243842,17160008181348,0.0003,0.0000001
43,9209,303,12435228223,1388915566,17160008181348,0.0003,0.0000001
43,4412,3900,12435228223,15724722306,17160008181348,0.0003,0.0000001
43,4911,2930,12435228223,10742581297,17160008181348,0.0004,0.0000001
43,702,2556,12435228223,8975848301,17160008181348,0.0004,0.0000001
43,6909,2020,12435228223,6378689585,17160008181348,0.0004,0.0000002
43,9202,303,12435228223,919285981,17160008181348,0.0005,0.0000002
43,9201,303,12435228223,854903139,17160008181348,0.0005,0.0000002
43,9503,16432,12435228223,46100895030,17160008181348,0.0005,0.0000002
43,9205,303,12435228223,846552997,17160008181348,0.0005,0.0000002
43,8703,269956,12435228223,750880603579,17160008181348,0.0005,0.0000002
43,8712,3115,12435228223,8522352015,17160008181348,0.0005,0.0000002
43,3103,636,12435228223,1735974274,17160008181348,0.0005,0.0000002
43,4411,3900,12435228223,10615891844,17160008181348,0.0005,0.0000002
43,1301,296,12435228223,775032026,17160008181348,0.0005,0.0000002
43,4410,3900,12435228223,9171918068,17160008181348,0.0006,0.0000002
43,703,2556,12435228223,5724239601,17160008181348,0.0006,0.0000002
43,2601,41130,12435228223,90246933285,17160008181348,0.0006,0.0000002
43,9999,332649,12435228223,707268456082,17160008181348,0.0006,0.0000002
43,4418,6600,12435228223,13887097937,17160008181348,0.0007,0.0000002
43,6110,25975,12435228223,53431859637,17160008181348,0.0007,0.0000002
43,7007,5423,12435228223,10802413577,17160008181348,0.0007,0.0000002
43,701,2556,12435228223,4079259962,17160008181348,0.0009,0.0000003
43,5705,1006,12435228223,1566485061,17160008181348,0.0009,0.0000003
43,807,2556,12435228223,3977608714,17160008181348,0.0009,0.0000003
43,1701,15013,12435228223,22406804730,17160008181348,0.0009,0.0000003
43,9206,303,12435228223,438391565,17160008181348,0.0010,0.0000003
43,4818,19995,12435228223,27253526229,17160008181348,0.0010,0.0000004
43,7901,12515,12435228223,16614223855,17160008181348,0.0010,0.0000004
43,3101,636,12435228223,804193976,17160008181348,0.0011,0.0000004
43,7009,5423,12435228223,6697697452,17160008181348,0.0011,0.0000004
43,704,2556,12435228223,3142813849,17160008181348,0.0011,0.0000004
43,3402,29480,12435228223,34776134217,17160008181348,0.0012,0.0000004
43,8525,348588,12435228223,402408662106,17160008181348,0.0012,0.0000004
43,1806,25463,12435228223,28464034489,17160008181348,0.0012,0.0000004
43,705,2556,12435228223,2799326504,17160008181348,0.0013,0.0000004
43,8903,13782,12435228223,14626778616,17160008181348,0.0013,0.0000005
43,707,2556,12435228223,2630712987,17160008181348,0.0013,0.0000005
43,2510,2585,12435228223,2594536583,17160008181348,0.0014,0.0000005
43,5701,1006,12435228223,991309951,17160008181348,0.0014,0.0000005
43,207,25982,12435228223,25526325058,17160008181348,0.0014,0.0000005
43,8471,274185,12435228223,264819093558,17160008181348,0.0014,0.0000005
43,3003,18262,12435228223,17595242497,17160008181348,0.0014,0.0000005
43,714,2556,12435228223,2334387730,17160008181348,0.0015,0.0000005
43,8517,139735,12435228223,127482803772,17160008181348,0.0015,0.0000005
43,4408,3900,12435228223,3516813279,17160008181348,0.0015,0.0000005
43,5905,133,12435228223,105589355,17160008181348,0.0017,0.0000006
43,706,2556,12435228223,2004795223,17160008181348,0.0018,0.0000006
43,1801,10572,12435228223,8245960764,17160008181348,0.0018,0.0000006
43,4907,2930,12435228223,2233381395,17160008181348,0.0018,0.0000006
43,5704,1006,12435228223,726062914,17160008181348,0.0019,0.0000007
43,4901,22072,12435228223,15903394254,17160008181348,0.0019,0.0000007
43,8715,3115,12435228223,2127850656,17160008181348,0.0020,0.0000007
43,4001,19781,12435228223,13235782548,17160008181348,0.0021,0.0000007
43,1517,8750,12435228223,5561118859,17160008181348,0.0022,0.0000008
43,7801,12515,12435228223,7791429010,17160008181348,0.0022,0.0000008
43,7310,11278,12435228223,6405932494,17160008181348,0.0024,0.0000009
43,7006,5423,12435228223,3076938428,17160008181348,0.0024,0.0000009
43,8473,440441,12435228223,249636309362,17160008181348,0.0024,0.0000009
43,6910,17567,12435228223,8908868694,17160008181348,0.0027,0.0000010
43,2808,636,12435228223,319910186,17160008181348,0.0027,0.0000010
43,9022,46070,12435228223,22802995615,17160008181348,0.0028,0.0000010
43,8713,3115,12435228223,1532830266,17160008181348,0.0028,0.0000010
43,8302,74958,12435228223,34684867453,17160008181348,0.0030,0.0000011
43,1704,25463,12435228223,11344999303,17160008181348,0.0031,0.0000011
43,6907,39708,12435228223,17633174675,17160008181348,0.0031,0.0000011
43,8711,60962,12435228223,26968201748,17160008181348,0.0031,0.0000011
43,4909,2930,12435228223,1270846858,17160008181348,0.0032,0.0000011
43,7320,16854,12435228223,7246980114,17160008181348,0.0032,0.0000011
43,3005,18262,12435228223,7819684383,17160008181348,0.0032,0.0000011
43,9208,303,12435228223,129077138,17160008181348,0.0032,0.0000011
43,7312,16854,12435228223,6791727422,17160008181348,0.0034,0.0000012
43,2204,92357,12435228223,35258760198,17160008181348,0.0036,0.0000013
43,4908,2930,12435228223,1091296590,17160008181348,0.0037,0.0000013
43,3208,39348,12435228223,14635826155,17160008181348,0.0037,0.0000013
43,7008,5423,12435228223,1910886823,17160008181348,0.0039,0.0000014
43,8001,12515,12435228223,4334136948,17160008181348,0.0040,0.0000014
43,8521,114498,12435228223,38158458183,17160008181348,0.0041,0.0000015
43,8518,114498,12435228223,36860759698,17160008181348,0.0043,0.0000015
43,6109,131842,12435228223,42194124260,17160008181348,0.0043,0.0000015
43,9013,208853,12435228223,65233216660,17160008181348,0.0044,0.0000016
43,7314,16854,12435228223,5249598049,17160008181348,0.0044,0.0000016
43,6806,15659,12435228223,4837805713,17160008181348,0.0045,0.0000016
43,8714,64077,12435228223,18858124884,17160008181348,0.0047,0.0000017
43,2511,2585,12435228223,724579967,17160008181348,0.0049,0.0000017
43,2804,41130,12435228223,11139795044,17160008181348,0.0051,0.0000018
43,6204,247802,12435228223,60916009407,17160008181348,0.0056,0.0000020
43,6911,26638,12435228223,6383783475,17160008181348,0.0058,0.0000020
43,8802,660298,12435228223,156665964017,17160008181348,0.0058,0.0000020
43,6902,19611,12435228223,4613502184,17160008181348,0.0059,0.0000021
43,6815,35270,12435228223,8265981992,17160008181348,0.0059,0.0000021
43,9504,130930,12435228223,30403234398,17160008181348,0.0059,0.0000021
43,2844,41130,12435228223,9364508618,17160008181348,0.0061,0.0000021
43,3214,39348,12435228223,8802592808,17160008181348,0.0062,0.0000022
43,7318,191036,12435228223,40053073921,17160008181348,0.0066,0.0000023
43,1804,25463,12435228223,5281708329,17160008181348,0.0067,0.0000023
43,8528,388683,12435228223,79738786831,17160008181348,0.0067,0.0000024
43,9010,208853,12435228223,42505277596,17160008181348,0.0068,0.0000024
43,2836,41130,12435228223,8340751814,17160008181348,0.0068,0.0000024
43,4303,24782,12435228223,4980711456,17160008181348,0.0069,0.0000024
43,6203,247802,12435228223,45821470094,17160008181348,0.0075,0.0000026
43,2815,41130,12435228223,7574526353,17160008181348,0.0075,0.0000026
43,8311,16854,12435228223,3051763078,17160008181348,0.0076,0.0000027
43,4910,2930,12435228223,527283574,17160008181348,0.0077,0.0000027
43,2523,67228,12435228223,11909901294,17160008181348,0.0078,0.0000027
43,7317,16854,12435228223,2981016922,17160008181348,0.0078,0.0000027
43,3801,15659,12435228223,2760863264,17160008181348,0.0078,0.0000028
43,8301,74958,12435228223,13117923627,17160008181348,0.0079,0.0000028
43,3304,297603,12435228223,51881954989,17160008181348,0.0079,0.0000028
43,3209,39348,12435228223,6496255578,17160008181348,0.0084,0.0000029
43,3002,1097173,12435228223,179854182282,17160008181348,0.0084,0.0000030
43,8523,295455,12435228223,46727285817,17160008181348,0.0087,0.0000031
43,2528,2585,12435228223,388399026,17160008181348,0.0092,0.0000032
43,1511,195579,12435228223,29181689868,17160008181348,0.0092,0.0000033
43,2843,41130,12435228223,5923943167,17160008181348,0.0096,0.0000034
43,6807,15659,12435228223,2089007407,17160008181348,0.0103,0.0000036
43,4301,16254,12435228223,2163568674,17160008181348,0.0104,0.0000037
43,8514,40576,12435228223,5367272332,17160008181348,0.0104,0.0000037
43,8516,361583,12435228223,47584196153,17160008181348,0.0105,0.0000037
43,6104,247802,12435228223,32224654504,17160008181348,0.0106,0.0000037
43,4810,215030,12435228223,27742391343,17160008181348,0.0107,0.0000038
43,8803,660298,12435228223,84896150679,17160008181348,0.0107,0.0000038
43,2803,41130,12435228223,5272286570,17160008181348,0.0108,0.0000038
43,409,16254,12435228223,2075161238,17160008181348,0.0108,0.0000038
43,2304,195579,12435228223,24840244523,17160008181348,0.0109,0.0000038
43,901,230467,12435228223,28946058942,17160008181348,0.0110,0.0000039
43,1108,34520,12435228223,4317936804,17160008181348,0.0110,0.0000039
43,2811,41130,12435228223,5077089899,17160008181348,0.0112,0.0000039
43,101,24000,12435228223,2954517627,17160008181348,0.0112,0.0000039
43,2515,18713,12435228223,2302217996,17160008181348,0.0112,0.0000039
43,3816,19611,12435228223,2409580239,17160008181348,0.0112,0.0000040
43,7413,16854,12435228223,2021472642,17160008181348,0.0115,0.0000041
43,1803,25463,12435228223,3042567638,17160008181348,0.0115,0.0000041
43,8527,114498,12435228223,13599953294,17160008181348,0.0116,0.0000041
43,3207,39348,12435228223,4589485429,17160008181348,0.0118,0.0000042
43,8501,493153,12435228223,54389105016,17160008181348,0.0125,0.0000044
43,2303,49533,12435228223,5346811274,17160008181348,0.0128,0.0000045
43,6903,19611,12435228223,2113398414,17160008181348,0.0128,0.0000045
43,2833,41130,12435228223,4371126586,17160008181348,0.0130,0.0000046
43,8438,134212,12435228223,14037255531,17160008181348,0.0132,0.0000046
43,2715,15659,12435228223,1617331701,17160008181348,0.0134,0.0000047
43,3505,35420,12435228223,3640790111,17160008181348,0.0134,0.0000047
43,6206,131842,12435228223,13466991787,17160008181348,0.0135,0.0000048
43,6205,131842,12435228223,13136792596,17160008181348,0.0138,0.0000049
43,2809,41130,12435228223,4087952651,17160008181348,0.0139,0.0000049
43,2516,18713,12435228223,1844728554,17160008181348,0.0140,0.0000049
43,8542,6576628,12435228223,647401837447,17160008181348,0.0140,0.0000049
43,6802,118132,12435228223,11459961952,17160008181348,0.0142,0.0000050
43,6912,26638,12435228223,2571816356,17160008181348,0.0143,0.0000050
43,3404,29480,12435228223,2824872552,17160008181348,0.0144,0.0000051
43,4820,48002,12435228223,4577024815,17160008181348,0.0145,0.0000051
43,9018,1272498,12435228223,120604629259,17160008181348,0.0146,0.0000051
43,7304,273110,12435228223,25395959493,17160008181348,0.0148,0.0000052
43,4821,51112,12435228223,4749946252,17160008181348,0.0148,0.0000052
43,2503,43715,12435228223,4038517851,17160008181348,0.0149,0.0000053
43,6108,131842,12435228223,11989407091,17160008181348,0.0152,0.0000053
43,7306,273110,12435228223,24780365131,17160008181348,0.0152,0.0000054
43,4811,215030,12435228223,19417558893,17160008181348,0.0153,0.0000054
43,6813,15659,12435228223,1413311250,17160008181348,0.0153,0.0000054
43,2835,41130,12435228223,3611143028,17160008181348,0.0157,0.0000055
43,8465,95128,12435228223,8283379062,17160008181348,0.0158,0.0000056
43,1805,25463,12435228223,2211489130,17160008181348,0.0159,0.0000056
43,2841,41130,12435228223,3561092964,17160008181348,0.0159,0.0000056
43,4823,119109,12435228223,10175595120,17160008181348,0.0162,0.0000057
43,2202,243457,12435228223,20709644562,17160008181348,0.0162,0.0000057
43,6212,131842,12435228223,11188048969,17160008181348,0.0163,0.0000057
43,103,44671,12435228223,3763657912,17160008181348,0.0164,0.0000058
43,7614,16854,12435228223,1409312618,17160008181348,0.0165,0.0000058
43,6202,247802,12435228223,20436217296,17160008181348,0.0167,0.0000059
43,2208,409558,12435228223,32142042897,17160008181348,0.0176,0.0000062
43,4413,3900,12435228223,305459841,17160008181348,0.0176,0.0000062
43,3405,29480,12435228223,2283642871,17160008181348,0.0178,0.0000063
43,1520,29480,12435228223,2282640117,17160008181348,0.0178,0.0000063
43,6913,26638,12435228223,2054769050,17160008181348,0.0179,0.0000063
43,505,25982,12435228223,1917808569,17160008181348,0.0187,0.0000066
43,8504,1214051,12435228223,88368794713,17160008181348,0.0190,0.0000067
43,4804,215030,12435228223,15157302584,17160008181348,0.0196,0.0000069
43,2530,38452,12435228223,2660752537,17160008181348,0.0199,0.0000070
43,4805,215030,12435228223,14811305087,17160008181348,0.0200,0.0000071
43,9002,208853,12435228223,14358636093,17160008181348,0.0201,0.0000071
43,2520,18713,12435228223,1269537061,17160008181348,0.0203,0.0000072
43,2827,41766,12435228223,2795868038,17160008181348,0.0206,0.0000073
43,7307,273110,12435228223,18244495023,17160008181348,0.0207,0.0000073
43,5607,37118,12435228223,2453157799,17160008181348,0.0209,0.0000074
43,6201,247802,12435228223,16331182536,17160008181348,0.0209,0.0000074
43,2519,35867,12435228223,2362245017,17160008181348,0.0210,0.0000074
43,604,19781,12435228223,1286774266,17160008181348,0.0212,0.0000075
43,8416,40576,12435228223,2631570166,17160008181348,0.0213,0.0000075
43,6904,21491,12435228223,1388755463,17160008181348,0.0214,0.0000075
43,4802,215030,12435228223,13826951619,17160008181348,0.0215,0.0000076
43,6810,152611,12435228223,9794407919,17160008181348,0.0215,0.0000076
43,8702,269956,12435228223,17058465473,17160008181348,0.0218,0.0000077
43,8543,816026,12435228223,51340729869,17160008181348,0.0219,0.0000077
43,6404,645419,12435228223,40462173126,17160008181348,0.0220,0.0000078
43,3303,297603,12435228223,18447730783,17160008181348,0.0223,0.0000078
43,6002,481857,12435228223,29390973250,17160008181348,0.0226,0.0000080
43,1703,15013,12435228223,905193484,17160008181348,0.0229,0.0000081
